file,category,loc
iOSMerchandiseControlTests/InventorySyncServiceTests.swift,Tests,78
iOSMerchandiseControlTests/LocalPendingAggregatedPushPlannerTests.swift,Tests,500
iOSMerchandiseControlTests/LocalPendingChangeAccumulatorTests.swift,Tests,454
iOSMerchandiseControlTests/LocalizationCoverageTests.swift,Tests,331
iOSMerchandiseControlTests/ManualPushFingerprintNormalizerTests.swift,Tests,193
iOSMerchandiseControlTests/OptionsLocalDatabaseSummaryTests.swift,Tests,152
iOSMerchandiseControlTests/OrderQuantitySummaryTests.swift,Tests,73
iOSMerchandiseControlTests/PendingChangeCoalescerTests.swift,Tests,43
iOSMerchandiseControlTests/RemoteIdentityMetadataSwiftDataTests.swift,Tests,159
iOSMerchandiseControlTests/SupabaseCatalogBaselinePreflightIntegrationTests.swift,Tests,413
iOSMerchandiseControlTests/SupabaseCatalogBaselineSwiftDataTests.swift,Tests,118
iOSMerchandiseControlTests/SupabaseCatalogBaselineWriterReaderTests.swift,Tests,293
iOSMerchandiseControlTests/SupabaseConfigSecurityTests.swift,Tests,128
iOSMerchandiseControlTests/SupabaseManualPushPreflightTests.swift,Tests,649
iOSMerchandiseControlTests/SupabaseManualPushServiceTests.swift,Tests,594
iOSMerchandiseControlTests/SupabaseManualSyncCoordinatorTests.swift,Tests,772
iOSMerchandiseControlTests/SupabaseManualSyncLifecycleRunGateTests.swift,Tests,177
iOSMerchandiseControlTests/SupabaseManualSyncLocalPendingSnapshotProviderTests.swift,Tests,487
iOSMerchandiseControlTests/SupabaseManualSyncReleaseActivityRegistrationAdapterTests.swift,Tests,233
iOSMerchandiseControlTests/SupabaseManualSyncReleaseUITests.swift,Tests,729
iOSMerchandiseControlTests/SupabaseManualSyncRemotePreviewTests.swift,Tests,432
iOSMerchandiseControlTests/SupabaseManualSyncViewModelTests.swift,Tests,4187
iOSMerchandiseControlTests/SupabaseProductPriceApplyServiceTests.swift,Tests,994
iOSMerchandiseControlTests/SupabaseProductPriceManualPushServiceTests.swift,Tests,861
iOSMerchandiseControlTests/SupabaseProductPricePreviewServiceTests.swift,Tests,417
iOSMerchandiseControlTests/SupabaseProductPricePushDryRunServiceTests.swift,Tests,517
iOSMerchandiseControlTests/SupabasePullApplyServiceTests.swift,Tests,962
iOSMerchandiseControlTests/SupabasePullPreviewDiffEngineTests.swift,Tests,604
iOSMerchandiseControlTests/SupabasePullPreviewPaginationTests.swift,Tests,212
iOSMerchandiseControlTests/SupabasePushPreflightViewModelTests.swift,Tests,509
iOSMerchandiseControlTests/SupabaseSyncEventDebugViewModelTests.swift,Tests,334
iOSMerchandiseControlTests/SupabaseSyncEventPreviewServiceTests.swift,Tests,270
iOSMerchandiseControlTests/SupabaseSyncPlanContractTests.swift,Tests,156
